trial,timestamp,sound_id,trigger_time_s,trigger_sample,task_type,hit_threshold_percent,hit_threshold_s,threshold_v,lever_hold_time_s,iti_s,iti_rand_min_s,iti_rand_max_s,sound_delay_s,sound_duration_s,trial_duration_s,response_window_s,reward_delay_s,reward_duration_ms,punish_interval,reward_go,punish_no_go_fa,min_lick_count,lick_threshold,play_sound,trigger_output,Block
1,2026-05-24T09:50:16.530,16,0.000000,0,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
2,2026-05-24T09:50:21.070,1,3.000000,3000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block2
3,2026-05-24T09:50:25.617,16,6.000000,6000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block3
4,2026-05-24T09:50:29.895,1,9.000000,9000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block4
5,2026-05-24T09:50:34.124,16,12.000000,12000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block5
6,2026-05-24T09:50:38.432,1,15.000000,15000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block6
7,2026-05-24T09:50:42.712,16,18.000000,18000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block7
8,2026-05-24T09:50:46.944,1,21.000000,21000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block8
9,2026-05-24T09:50:51.305,16,24.000000,24000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block9
10,2026-05-24T09:50:55.414,16,27.000000,27000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block10
11,2026-05-24T09:50:59.660,1,30.000000,30000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block11
