trial,timestamp,trigger_time_s,trigger_sample,crossing_duration_s,TrialType,HIT,MISS,CR,FA,ResultType,sound_id,lick_count
1,2026-05-24T19:08:12.680,0.000000,0,1.368000,1 GO,1,0,0,0,HIT,1,
2,2026-05-24T19:08:17.403,3.000000,3000,0.843000,2 noGo,0,0,1,0,CR,16,
3,2026-05-24T19:08:21.732,6.000000,6000,1.104000,1 GO,1,0,0,0,HIT,1,
4,2026-05-24T19:08:26.045,9.000000,9000,0.370000,1 GO,0,1,0,0,MISS,1,
5,2026-05-24T19:08:30.278,12.000000,12000,1.808000,2 noGo,0,0,0,1,FA,16,
6,2026-05-24T19:08:34.590,15.000000,15000,0.569000,2 noGo,0,0,1,0,CR,16,
7,2026-05-24T19:08:38.832,18.000000,18000,1.213000,1 GO,1,0,0,0,HIT,1,
8,2026-05-24T19:08:43.230,21.000000,21000,1.904000,2 noGo,0,0,0,1,FA,16,
9,2026-05-24T19:08:47.478,24.000000,24000,1.703000,2 noGo,0,0,0,1,FA,16,
10,2026-05-24T19:08:51.833,27.000000,27000,1.038000,1 GO,1,0,0,0,HIT,1,
11,2026-05-24T19:08:56.187,30.000000,30000,1.898000,2 noGo,0,0,0,1,FA,16,
12,2026-05-24T19:09:00.384,33.000000,33000,0.099000,1 GO,0,1,0,0,MISS,1,
