trial,timestamp,sound_id,trigger_time_s,trigger_sample,task_type,hit_threshold_percent,hit_threshold_s,threshold_v,lever_hold_time_s,iti_s,iti_rand_min_s,iti_rand_max_s,sound_delay_s,sound_duration_s,trial_duration_s,response_window_s,reward_delay_s,reward_duration_ms,punish_interval,reward_go,punish_no_go_fa,min_lick_count,lick_threshold,play_sound,trigger_output,Block
1,2026-05-24T09:37:19.654,1,0.000000,0,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,50.0,,,,,,1,1,block1
2,2026-05-24T09:37:25.540,10,3.000000,3000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,50.0,,,,,,1,1,block2
3,2026-05-24T09:37:29.333,10,6.000000,6000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,50.0,,,,,,1,1,block3
4,2026-05-24T09:37:33.128,1,9.000000,9000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block4
5,2026-05-24T09:37:36.946,10,12.000000,12000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block5
