trial,timestamp,trigger_time_s,trigger_sample,crossing_duration_s,TrialType,HIT,MISS,CR,FA,ResultType,sound_id,lick_count
1,2026-05-24T09:37:19.654,0.000000,0,1.462000,1 GO,1,0,0,0,HIT,1,
2,2026-05-24T09:37:25.540,3.000000,3000,0.219000,2 noGo,0,0,1,0,CR,10,
3,2026-05-24T09:37:29.333,6.000000,6000,1.118000,2 noGo,0,0,0,1,FA,10,
4,2026-05-24T09:37:33.128,9.000000,9000,1.549000,1 GO,1,0,0,0,HIT,1,
5,2026-05-24T09:37:36.946,12.000000,12000,0.099000,2 noGo,0,0,1,0,CR,10,
