trial,timestamp,trigger_time_s,trigger_sample,crossing_duration_s,TrialType,HIT,MISS,CR,FA,ResultType,sound_id,lick_count
1,2026-05-24T19:25:17.065,0.000000,0,0.630000,1 GO,0,1,0,0,MISS,1,
2,2026-05-24T19:25:21.553,3.000000,3000,1.713000,2 noGo,0,0,0,1,FA,16,
3,2026-05-24T19:25:26.000,6.000000,6000,0.728000,2 noGo,0,0,1,0,CR,16,
4,2026-05-24T19:25:30.300,9.000000,9000,0.480000,1 GO,0,1,0,0,MISS,1,
5,2026-05-24T19:25:34.606,12.000000,12000,0.948000,2 noGo,0,0,1,0,CR,16,
6,2026-05-24T19:25:38.829,15.000000,15000,0.959000,2 noGo,0,0,1,0,CR,16,
7,2026-05-24T19:25:43.147,18.000000,18000,0.368000,2 noGo,0,0,1,0,CR,16,
