trial,timestamp,sound_id,trigger_time_s,task_type,hit_threshold_percent,hit_threshold_s,threshold_v,lever_hold_time_s,iti_s,iti_rand_min_s,iti_rand_max_s,sound_delay_s,sound_duration_s,trial_duration_s,response_window_s,reward_delay_s,reward_duration_ms,punish_interval,reward_go,punish_no_go_fa,min_lick_count,lick_threshold,play_sound,trigger_output,Block
1,2026-05-23T10:33:08.675,1,0.111552,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
2,2026-05-23T10:33:11.638,10,3.101550,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
3,2026-05-23T10:33:14.631,10,6.100819,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
4,2026-05-23T10:33:17.616,1,9.101308,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
5,2026-05-23T10:33:20.629,10,12.100499,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
6,2026-05-23T10:33:23.672,10,15.108271,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
7,2026-05-23T10:33:26.616,10,18.101096,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
8,2026-05-23T10:33:29.640,10,21.101073,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
