trial,timestamp,trigger_time_s,crossing_duration_s,TrialType,HIT,MISS,CR,FA,ResultType,sound_id,lick_count
1,2026-05-23T10:33:08.675,0.111552,0.933795,1 GO,0,1,0,0,MISS,1,
2,2026-05-23T10:33:11.638,3.101550,1.284270,2 noGo,0,0,0,1,FA,10,
3,2026-05-23T10:33:14.631,6.100819,0.706990,2 noGo,0,0,1,0,CR,10,
4,2026-05-23T10:33:17.616,9.101308,0.678864,1 GO,0,1,0,0,MISS,1,
5,2026-05-23T10:33:20.629,12.100499,0.661877,2 noGo,0,0,1,0,CR,10,
6,2026-05-23T10:33:23.672,15.108271,0.740747,2 noGo,0,0,1,0,CR,10,
7,2026-05-23T10:33:26.616,18.101096,0.637425,2 noGo,0,0,1,0,CR,10,
8,2026-05-23T10:33:29.640,21.101073,0.073000,2 noGo,0,0,1,0,CR,10,
